timestamp,machine_id,energy_consumption_kwh,compressed_air_usage,cooling_water_usage,power_peak_kw,energy_cost
2026-01-01 11:15:00,M04,35.55,12.03,14.28,61.16,35.6
2026-01-01 11:20:00,M03,48.56,19.25,16.65,58.81,107.47
2026-01-01 11:25:00,M04,36.21,22.63,11.23,64.47,86.21
2026-01-01 11:30:00,M04,33.19,18.48,17.17,52.77,122.77
2026-01-01 11:35:00,M02,37.85,20.53,9.43,76.26,136.18
2026-01-01 11:40:00,M04,40.88,17.66,20.14,62.56,77.86
2026-01-01 11:45:00,M01,49.03,12.33,13.93,64.47,68.01
2026-01-01 11:50:00,M03,27.73,16.65,14.68,50.75,77.99
2026-01-01 11:55:00,M04,32.82,19.13,16.99,50.29,135.75
2026-01-01 12:00:00,M04,36.59,22.65,14.06,54.67,88.99
2026-01-01 12:05:00,M04,33.89,24.34,19.62,66.11,120.3
2026-01-01 12:10:00,M04,32.22,25.25,17.84,66.25,40.76
2026-01-01 12:15:00,M01,29.57,23.15,16.01,62.93,94.8
2026-01-01 12:20:00,M02,36.97,18.98,13.98,67.75333333333333,128.12
2026-01-01 12:25:00,M03,25.9,21.1,18.89,53.2,90.52
2026-01-01 12:30:00,M03,37.0,20.88,17.8,66.87,138.57
2026-01-01 12:35:00,M04,35.4,22.67,14.93,60.88,120.05666666666666
2026-01-01 12:40:00,M03,34.28,17.0,12.9,58.52,101.54333333333332
2026-01-01 12:45:00,M02,36.61,18.53,14.95,59.24666666666667,83.03
2026-01-01 12:50:00,M01,34.99,15.77,13.89,55.11,33.51
2026-01-01 12:55:00,M01,31.38,23.53,18.48,51.72,112.18
2026-01-01 13:00:00,M03,30.58,22.25,12.62,57.38,113.67
2026-01-01 13:05:00,M02,37.13,17.94,15.92,50.74,22.68
2026-01-01 13:10:00,M01,38.51,17.16,13.42,64.71,108.26
2026-01-01 13:15:00,M02,39.35,15.66,13.67,76.95,147.45
2026-01-01 13:20:00,M03,42.26,22.18,13.256666666666666,61.42,120.31
2026-01-01 13:25:00,M02,38.995000000000005,18.49,11.42,54.92,62.32
2026-01-01 13:30:00,M04,38.58,24.520000000000003,15.97,50.51,144.78
2026-01-01 13:35:00,M04,34.435,26.37,14.16,52.72,21.5
2026-01-01 13:40:00,M04,30.29,19.97,17.26,61.73,22.77
2026-01-01 13:45:00,M04,29.93,19.93,15.52,70.74,115.95
2026-01-01 13:50:00,M04,30.63,17.52,16.19,79.04,93.91
2026-01-01 13:55:00,M01,33.95,19.225,20.57,57.79,37.75
2026-01-01 14:00:00,M03,37.435,16.68,13.893333333333333,58.48,138.83
2026-01-01 14:05:00,M03,32.61,19.19,14.53,71.45,84.39
2026-01-01 14:10:00,M04,45.77,18.11,9.0,57.52,68.27
2026-01-01 14:15:00,M04,20.97,27.66,13.07,80.39,105.94
2026-01-01 14:20:00,M04,36.13,23.15,10.22,69.62,68.78
2026-01-01 14:25:00,M03,34.98,14.77,15.1,64.43,74.38
2026-01-01 14:30:00,M01,29.26,21.29,12.01,53.7,125.77
2026-01-01 14:35:00,M03,37.77,20.38,16.45,66.32,32.45
2026-01-01 14:40:00,M03,36.63,25.58,11.69,60.47,101.13
2026-01-01 14:45:00,M04,27.94,14.72,11.98,61.3,133.04
2026-01-01 14:50:00,M03,44.43,26.97,11.29,50.74,111.69
2026-01-01 14:55:00,M03,34.87,21.79,15.84,52.02,143.85
2026-01-01 15:00:00,M03,38.24,23.33,17.36,68.79,593.8885908087076
2026-01-01 15:05:00,M02,38.64,17.11,13.32,57.19,132.75
2026-01-01 15:10:00,M03,41.93,13.96,20.14,56.36,50.79
2026-01-01 15:15:00,M03,33.51,26.4,12.88,61.42,94.51
2026-01-01 15:20:00,M01,35.81,23.14,15.48,68.07,31.83
2026-01-01 15:25:00,M03,34.29,20.07,11.46,65.67,48.85
2026-01-01 15:30:00,M02,33.84,22.69,13.9,55.37,29.09
2026-01-01 15:35:00,M04,33.12,24.49,19.0,66.85,29.79
2026-01-01 15:40:00,M03,35.07,16.63,15.92,56.99,75.19
2026-01-01 15:45:00,M01,37.04,26.73,12.92,68.24,86.64
2026-01-01 15:50:00,M02,29.04,27.12,16.79,67.85,49.51
2026-01-01 15:55:00,M01,30.22,22.93,12.78,63.959999999999994,37.33
2026-01-01 16:00:00,M03,31.27,18.76,16.59,65.43,22.23
2026-01-01 16:05:00,M02,25.6,16.75,14.13,51.85,25.26
2026-01-01 16:10:00,M03,27.0,18.0,11.85,56.05,79.33
2026-01-01 16:15:00,M03,36.7,18.24,11.68,51.67,46.03
2026-01-01 16:20:00,M02,25.79,19.03,12.11,65.72,46.26
2026-01-01 16:25:00,M02,35.21,17.47,20.75,54.76,74.77
2026-01-01 16:30:00,M02,33.82,20.39,14.72,52.26,50.1
2026-01-01 16:35:00,M02,30.48,20.7,14.49,56.22,137.39
2026-01-01 16:40:00,M02,36.93,18.84,20.75,60.18,68.47
2026-01-01 16:45:00,M01,32.48,14.52,13.78,59.68,593.8885908087076
2026-01-01 16:50:00,M03,30.33,19.09,11.94,56.66,101.47
2026-01-01 16:55:00,M04,33.94,21.14,15.06,55.68,132.89
2026-01-01 17:00:00,M02,24.83,20.42,17.43,54.61,108.43
2026-01-01 17:05:00,M02,35.39,15.55,14.11,50.48,119.55
2026-01-01 17:10:00,M02,41.19,23.53,18.16,54.27,79.96
2026-01-01 17:15:00,M04,39.61,22.990000000000002,15.98,65.69,40.37
2026-01-01 17:20:00,M01,29.77,20.05,10.89,60.87,69.29
2026-01-01 17:25:00,M04,36.86,24.84,15.21,61.99,593.8885908087076
2026-01-01 17:30:00,M03,37.97,18.71,16.28,61.12,69.48
2026-01-01 17:35:00,M02,32.17,15.04,12.09,48.97,41.05
2026-01-01 17:40:00,M02,20.35,23.04,10.56,61.66,60.81
2026-01-01 17:45:00,M01,31.08,16.43,15.55,58.08,52.05
2026-01-01 17:50:00,M03,32.04,26.83,14.91,66.01,61.26
2026-01-01 17:55:00,M04,34.11,19.07,18.71,67.74,58.125
2026-01-01 18:00:00,M03,36.02,22.31,13.54,65.0,54.99
2026-01-01 18:05:00,M01,26.05,21.57,13.45,69.08,69.59
2026-01-01 18:10:00,M04,28.68,13.28,11.08,49.94,99.6
2026-01-01 18:15:00,M02,31.3,19.12,17.59,56.59,60.01
2026-01-01 18:20:00,M02,23.79,26.92,12.05,50.36,110.19
2026-01-01 18:25:00,M03,43.12,20.104999999999997,17.31,65.8,110.5
2026-01-01 18:30:00,M04,42.52,28.52,16.68,57.24,92.08
2026-01-01 18:35:00,M03,31.13,17.9,13.36,57.97,123.1
2026-01-01 18:40:00,M01,29.9,26.87,17.19,62.065,50.94
2026-01-01 18:45:00,M04,31.04,18.17,21.98,60.09,105.94
2026-01-01 18:50:00,M03,31.674999999999997,14.67,13.34,48.11,87.8
2026-01-01 18:55:00,M03,32.22,24.03,20.23,51.43,127.54
2026-01-01 19:00:00,M01,26.51,21.11,14.59,55.05,110.97
2026-01-01 19:05:00,M01,32.55,23.22,13.23,76.8,85.56
2026-01-01 19:10:00,M03,33.76,19.6,17.075,67.39,74.31333333333333
2026-01-01 19:15:00,M03,40.44,16.91,13.92,60.64,63.06666666666666
2026-01-01 19:20:00,M01,35.965,21.47,11.13,57.74,51.82
2026-01-01 19:25:00,M04,29.67,26.23,18.1,60.67,69.51
2026-01-01 19:30:00,M01,39.38,24.16,14.53,62.47,91.89
2026-01-01 19:35:00,M02,44.01,19.7,15.69,59.85,23.58
2026-01-01 19:40:00,M03,46.81,23.61,18.01,76.44,146.03
2026-01-01 19:45:00,M03,41.15,21.44,12.93,70.33,74.62
2026-01-01 19:50:00,M03,41.5,18.63,10.85,64.22,53.87
2026-01-01 19:55:00,M02,35.97,22.86,15.9,64.73,80.3
2026-01-01 20:00:00,M03,31.82,17.12,14.79,60.91,125.57
2026-01-01 20:05:00,M03,40.7,19.7,16.13,51.59,84.61
2026-01-01 20:10:00,M01,40.8,20.65,11.97,56.8,71.5
2026-01-01 20:15:00,M02,47.65,14.03,13.48,62.21,38.31
2026-01-01 20:20:00,M04,30.1,20.79,15.06,54.69,67.9
2026-01-01 20:25:00,M03,35.34,24.09,12.68,63.71,116.22
2026-01-01 20:30:00,M02,39.99,18.235,12.86,54.71,95.39
2026-01-01 20:35:00,M02,37.92,22.44,9.27,59.78,102.37
2026-01-01 20:40:00,M03,35.35,18.67,16.8,65.82,106.18
2026-01-01 20:45:00,M03,33.57,14.17,13.26,68.02,50.87
2026-01-01 20:50:00,M01,37.88,21.39,13.56,51.13,93.74
2026-01-01 20:55:00,M01,27.34,21.77,15.15,55.913333333333334,88.21
2026-01-01 21:00:00,M03,40.6,19.62,14.44,64.14,119.27
2026-01-01 21:05:00,M02,45.39,19.765,18.36,64.85,109.26
2026-01-01 21:10:00,M02,29.25,17.09,12.47,58.82,124.57
2026-01-01 21:15:00,M04,35.6,22.66,12.5,67.54,68.82
2026-01-01 21:20:00,M04,42.81,19.84,14.95,64.42500000000001,593.8885908087076
2026-01-01 21:25:00,M04,39.31,19.7,21.89,61.31,41.15
2026-01-01 21:30:00,M02,40.14,19.52,14.49,60.43,147.84
2026-01-01 21:35:00,M03,31.56,27.3,14.14,75.87,89.305
2026-01-01 21:40:00,M04,31.13,18.61,18.26,62.67,30.77
2026-01-01 21:45:00,M03,46.79,25.05,17.18,56.99,62.23
2026-01-01 21:50:00,M03,30.69,18.67,18.24,47.9,93.04
2026-01-01 21:55:00,M03,26.36,25.0,14.48,52.19,64.14
2026-01-01 22:00:00,M03,33.4,17.15,14.99,55.015,99.85
2026-01-01 22:05:00,M03,29.08,22.4,17.69,57.84,101.71
2026-01-01 22:10:00,M02,39.62,24.0,18.15,62.04,121.56
2026-01-01 22:15:00,M04,39.1,16.17,11.27,77.46,53.28
2026-01-01 22:20:00,M04,33.03,20.11,10.86,72.0,37.97
2026-01-01 22:25:00,M03,21.77,15.44,17.34,65.66,138.59
2026-01-01 22:30:00,M03,43.06,22.99,17.91,63.96,86.36
2026-01-01 22:35:00,M04,26.96,13.98,13.504999999999999,60.27,89.81
2026-01-01 22:40:00,M01,40.02,14.29,13.01,60.69666666666667,48.91
2026-01-01 22:45:00,M04,33.12,20.96,16.15,62.2,47.48
2026-01-01 22:50:00,M02,32.46,24.255000000000003,14.03,55.06,37.44
2026-01-01 22:55:00,M03,43.045,18.65,19.45,53.55,31.32
2026-01-01 23:00:00,M03,43.03,17.53,10.5,67.05,115.28
2026-01-01 23:05:00,M04,38.55,20.56,13.75,57.61,34.62
2026-01-01 23:10:00,M03,40.980000000000004,21.33,12.99,65.74,45.48
2026-01-01 23:15:00,M01,35.39,16.34,18.74,65.48,26.94
2026-01-01 23:20:00,M02,34.64,24.51,12.059999999999999,50.27,593.8885908087076
2026-01-01 23:25:00,M03,38.93,21.82,15.48,70.68,141.6
2026-01-01 23:30:00,M03,33.78,25.65,12.43,58.34,73.83
2026-01-01 23:35:00,M04,34.34,18.81,13.504999999999999,53.02,20.37
2026-01-01 23:40:00,M04,41.7,14.64,13.26,63.28,81.345
2026-01-01 23:45:00,M01,34.7,13.62,20.45,66.87,142.32
2026-01-01 23:50:00,M01,37.92,27.94,14.55,57.25,27.2
2026-01-01 23:55:00,M04,28.96,18.5,12.68,59.63,83.04
2026-01-02 00:00:00,M01,30.97,16.98,11.92,50.55,97.52
2026-01-02 00:05:00,M01,40.01,27.91,19.38,60.39,28.92
2026-01-02 00:10:00,M03,36.18,13.42,15.56,59.55,141.98
2026-01-02 00:15:00,M01,42.07,19.19,15.72,64.03,70.38
2026-01-02 00:20:00,M02,24.44,17.95,10.09,58.39,54.93
2026-01-02 00:25:00,M03,35.51,17.39,18.69,56.37,99.92
2026-01-02 00:30:00,M03,39.18,21.88,16.45,61.17,148.67
2026-01-02 00:35:00,M01,44.23,17.82,19.83,64.36,33.62
2026-01-02 00:40:00,M03,38.19,15.09,14.87,60.25,105.33
2026-01-02 00:45:00,M01,32.29,18.08,19.64,48.05,82.5
2026-01-02 00:50:00,M02,36.41,29.17,8.51,46.9,105.73
2026-01-02 00:55:00,M04,34.59,20.21,14.79,58.58,127.74
2026-01-02 01:00:00,M01,31.99,22.14,13.48,66.21,88.22
2026-01-02 01:05:00,M01,37.6,13.18,9.07,63.46,116.94
2026-01-02 01:10:00,M02,37.07,24.06,20.5,42.99,148.06
2026-01-02 01:15:00,M01,35.525000000000006,30.69,16.81,52.08,81.24
2026-01-02 01:20:00,M02,33.05,17.6,22.63,59.69,31.88
2026-01-02 01:25:00,M02,29.75,20.685000000000002,20.03,64.18,102.83
2026-01-02 01:30:00,M04,42.22,15.11,10.52,56.55,124.79
2026-01-02 01:35:00,M03,46.28,18.15,14.65,59.11,140.88
2026-01-02 01:40:00,M02,42.13,23.77,14.59,55.1,113.59
2026-01-02 01:45:00,M01,33.45,20.13,14.69,50.63,24.05
2026-01-02 01:50:00,M03,31.49,20.61,16.19,51.96,55.29
2026-01-02 01:55:00,M04,29.42,17.555,14.52,54.52,20.0
2026-01-02 02:00:00,M02,37.25,14.42,12.48,42.14,139.26
2026-01-02 02:05:00,M02,37.78,18.39,13.42,61.41,103.36
2026-01-02 02:10:00,M03,24.58,14.06,13.33,70.32,32.64
2026-01-02 02:15:00,M02,45.8,24.61,12.44,64.62,49.925
2026-01-02 02:20:00,M03,30.45,17.8,15.03,56.6,67.21
2026-01-02 02:25:00,M04,31.540000000000003,20.0,16.049999999999997,69.53,117.56
2026-01-02 02:30:00,M02,30.46,22.494999999999997,18.84,67.83,63.24
2026-01-02 02:35:00,M01,36.83,29.36,15.82,66.08,94.89
2026-01-02 02:40:00,M01,28.34,19.61,13.14,66.52,39.98
2026-01-02 02:45:00,M01,32.05,19.06,14.61,61.34,126.84
2026-01-02 02:50:00,M01,35.14,20.03,19.24,64.27,75.55
2026-01-02 02:55:00,M02,27.47,20.38,17.48,58.745,67.39
2026-01-02 03:00:00,M01,32.91,19.41,15.05,72.84,59.23
2026-01-02 03:05:00,M03,44.1,16.64,15.7,46.83,20.04
2026-01-02 03:10:00,M02,32.71,22.49,18.775,49.66,25.61
2026-01-02 03:15:00,M03,30.5,21.5,11.01,66.71,70.23
2026-01-02 03:20:00,M04,33.660000000000004,23.52,17.58,53.73,108.11
2026-01-02 03:25:00,M03,35.16,15.94,18.1,59.48,63.72
2026-01-02 03:30:00,M02,32.38,16.14,20.07,53.114999999999995,92.13
2026-01-02 03:35:00,M02,28.63,19.05,17.87,56.57,62.68
2026-01-02 03:40:00,M03,32.46,19.95,17.53,56.75,22.3
2026-01-02 03:45:00,M04,35.78,16.72,14.76,56.78,118.74
2026-01-02 03:50:00,M02,37.52,17.43,17.75,75.39,132.49
2026-01-02 03:55:00,M01,35.58,23.05,19.84,64.5,35.74
2026-01-02 04:00:00,M02,33.16,17.42,16.41,68.05,21.05
2026-01-02 04:05:00,M02,27.14,18.155,13.03,54.34,307.46929540435383
2026-01-02 04:10:00,M03,32.14,22.57,20.23,61.65,593.8885908087076
2026-01-02 04:15:00,M03,34.18,9.58,8.62,66.9,99.35
2026-01-02 04:20:00,M04,44.26,20.225,16.13,63.93,135.31
2026-01-02 04:25:00,M04,30.23,23.73,12.21,60.8,25.61
2026-01-02 04:30:00,M01,36.51,14.77,14.13,68.56,84.6
2026-01-02 04:35:00,M01,36.67,21.17,11.6,55.57,103.095
2026-01-02 04:40:00,M01,31.845,11.77,17.38,38.95,121.59
2026-01-02 04:45:00,M03,39.63,19.33,11.71,55.29,29.64
2026-01-02 04:50:00,M01,27.02,18.28,16.48,77.08,67.39500000000001
2026-01-02 04:55:00,M03,29.83,13.64,11.725000000000001,69.33,105.15
2026-01-02 05:00:00,M03,34.45,11.92,11.74,63.94,49.25
2026-01-02 05:05:00,M02,35.66,18.89,11.52,78.26,148.65
2026-01-02 05:10:00,M01,34.9,22.37,19.38,64.03,105.61
2026-01-02 05:15:00,M02,40.51,16.23,16.6,53.56,49.42
2026-01-02 05:20:00,M04,35.07,26.63,20.2,37.85,593.8885908087076
2026-01-02 05:25:00,M02,39.41,14.37,12.29,59.31,56.92
2026-01-02 05:30:00,M01,29.74,15.27,26.49,76.71,64.66
2026-01-02 05:35:00,M02,32.3,15.68,16.53,50.41,109.87
2026-01-02 05:40:00,M01,28.75,22.45,14.16,79.75,124.56
2026-01-02 05:45:00,M03,39.07,10.2,18.59,58.55,109.83
2026-01-02 05:50:00,M02,36.73,22.81,17.69,49.06,143.58
2026-01-02 05:55:00,M03,35.38,27.19,12.57,57.93,125.43
2026-01-02 06:00:00,M01,29.04,13.42,14.87,49.22,141.62
2026-01-02 06:05:00,M02,38.45,18.53,12.54,45.64,85.95
2026-01-02 06:10:00,M01,44.9,30.42,9.46,58.53,30.28
2026-01-02 06:15:00,M01,31.06,21.99,10.855,60.035,117.39
2026-01-02 06:20:00,M01,25.1,13.18,12.25,61.54,102.315
2026-01-02 06:25:00,M01,34.02,17.99,15.83,41.76,87.24
2026-01-02 06:30:00,M02,43.84,22.84,14.06,54.57,31.04
2026-01-02 06:35:00,M01,25.57,21.64,12.58,65.21,135.02
2026-01-02 06:40:00,M01,32.175,16.82,13.66,69.71,123.24
2026-01-02 06:45:00,M04,53.84,20.73,14.72,65.6,144.69
2026-01-02 06:50:00,M04,35.77,20.66,22.12,55.43,113.91
2026-01-02 06:55:00,M03,36.97,18.27,17.57,79.56,63.47
2026-01-02 07:00:00,M01,38.78,17.84,16.9,65.88,52.7
2026-01-02 07:05:00,M03,39.2,27.92,13.66,52.8,49.01
2026-01-02 07:10:00,M02,32.06,21.5,13.77,68.35,127.1
2026-01-02 07:15:00,M02,35.98,24.7,11.66,68.53,36.58
2026-01-02 07:20:00,M02,41.9,21.79,12.23,48.28,148.6
2026-01-02 07:25:00,M03,34.97,19.37,13.13,56.4,90.99
2026-01-02 07:30:00,M01,40.95,23.94,19.85,57.32,593.8885908087076
2026-01-02 07:35:00,M04,43.34,20.59,16.3,68.53,42.37
2026-01-02 07:40:00,M01,32.18,22.1,11.8,65.71,133.1
2026-01-02 07:45:00,M01,36.33,14.37,10.955,60.64,33.87
2026-01-02 07:50:00,M01,42.3,22.98,10.11,62.4,20.49
2026-01-02 07:55:00,M04,36.77,21.82,16.07,68.39,140.22
2026-01-02 08:00:00,M01,40.516666666666666,15.35,13.885,57.28,38.09
2026-01-02 08:05:00,M02,30.39,20.18,16.48,81.55,127.69
2026-01-02 08:10:00,M04,42.62,22.79,14.96,69.08,144.82
2026-01-02 08:15:00,M01,38.733333333333334,20.04,17.66,49.76,118.1
2026-01-02 08:20:00,M03,30.93,26.38,9.38,58.8,128.84
2026-01-02 08:25:00,M02,36.28,18.57,16.51,48.99,104.57
2026-01-02 08:30:00,M01,36.95,17.48,17.47,81.27,69.22
2026-01-02 08:35:00,M04,38.09,21.23,13.85,68.54,108.01
2026-01-02 08:40:00,M03,32.28,23.83,18.71,41.29,30.92
2026-01-02 08:45:00,M03,42.96,23.375,19.59,77.73,124.6
2026-01-02 08:50:00,M03,51.06,22.92,15.06,66.23,76.55
2026-01-02 08:55:00,M04,32.05,23.03,16.68,67.41,66.51
2026-01-02 09:00:00,M02,41.99,22.39,13.38,78.68,86.17
2026-01-02 09:05:00,M04,27.14,22.15,13.42,55.73,143.69
2026-01-02 09:10:00,M01,28.84,15.56,14.1,66.43,44.78
2026-01-02 09:15:00,M04,34.66,15.5,18.72,56.69,32.51
2026-01-02 09:20:00,M02,33.8,16.03,15.11,60.84,122.86
2026-01-02 09:25:00,M04,36.64,16.95,15.28,56.61,20.02
2026-01-02 09:30:00,M04,29.43,21.11,14.14,54.62,118.68
2026-01-02 09:35:00,M03,42.11,16.12,16.87,57.16,147.48
2026-01-02 09:40:00,M02,38.23,23.52,11.22,43.0,48.23
2026-01-02 09:45:00,M02,42.38,23.13,18.96,53.13,81.1
2026-01-02 09:50:00,M03,39.64,22.08,15.77,72.76,57.46
2026-01-02 09:55:00,M01,46.45,19.79,19.12,72.47,44.9
2026-01-02 10:00:00,M04,25.42,18.68,16.74,54.76,143.37
2026-01-02 10:05:00,M01,31.87,24.39,14.04,52.8,125.66
2026-01-02 10:10:00,M02,33.93,17.63,12.11,64.94,20.06
2026-01-02 10:15:00,M02,28.98,17.74,18.7,60.56,100.03
2026-01-02 10:20:00,M01,32.53,19.42,14.13,65.06,141.93
2026-01-02 10:25:00,M03,19.63,19.57,16.12,43.86,142.32
2026-01-02 10:30:00,M03,39.58,20.65,14.01,70.65,102.045
2026-01-02 10:35:00,M04,34.84,20.17,10.11,55.12,61.77
2026-01-02 10:40:00,M02,38.31,18.21,8.78,56.6,121.15
2026-01-02 10:45:00,M02,42.76,14.38,16.06,58.9,120.5
2026-01-02 10:50:00,M02,44.55,22.04,18.02,56.64,92.42
2026-01-02 10:55:00,M02,41.33,24.96,18.26,76.57,68.42
2026-01-02 11:00:00,M02,23.76,17.37,10.89,61.54,141.78
2026-01-02 11:05:00,M04,38.31,20.92,14.8,50.8,109.64
2026-01-02 11:10:00,M04,30.62,22.33,14.85,61.61,59.84
2026-01-02 11:15:00,M03,38.34,20.62,13.54,52.44,25.59
2026-01-02 11:20:00,M04,40.82,23.74,16.77,60.99,39.56
2026-01-02 11:25:00,M01,38.18,14.09,15.59,59.54,137.67
2026-01-02 11:30:00,M04,35.88,21.03,11.92,43.95,93.86
2026-01-02 11:35:00,M04,41.27,18.32,13.16,66.1,108.03
2026-01-02 11:40:00,M02,31.06,14.58,17.67,59.55,82.61
2026-01-02 11:45:00,M01,34.87,20.74,19.53,60.06,134.02
2026-01-02 11:50:00,M02,36.69,20.06,14.8,62.0,108.17500000000001
2026-01-02 11:55:00,M01,31.56,20.96,13.67,38.54,82.33
2026-01-02 12:00:00,M03,28.75,14.6,16.44,69.14,55.99
2026-01-02 12:05:00,M04,34.99,20.41,12.73,63.49,84.49
2026-01-02 12:10:00,M01,42.46,23.57,15.9,55.87,67.36
2026-01-02 12:15:00,M03,46.3,20.91,12.34,67.88,30.43
2026-01-02 12:20:00,M02,34.724999999999994,21.89,13.83,43.24,107.83
2026-01-02 12:25:00,M01,35.29,18.51,14.94,76.48,593.8885908087076
2026-01-02 12:30:00,M03,39.11,18.57,12.379999999999999,61.47,79.87
2026-01-02 12:35:00,M04,39.72,14.57,12.77,52.15,144.5
2026-01-02 12:40:00,M03,44.44,15.8,12.42,64.01,25.76
2026-01-02 12:45:00,M03,43.49,15.54,12.04,55.6,135.15
2026-01-02 12:50:00,M02,32.76,21.61,12.44,69.77,76.77
2026-01-02 12:55:00,M03,30.29,20.04,13.52,58.1,43.57
2026-01-02 13:00:00,M02,30.52,11.26,16.08,55.96,114.44
2026-01-02 13:05:00,M02,27.4,18.04,16.46,49.9,88.3
2026-01-02 13:10:00,M03,35.99,22.33,13.66,50.6,81.41
2026-01-02 13:15:00,M04,40.443333333333335,17.42,12.81,45.5,110.42
2026-01-02 13:20:00,M04,41.166666666666664,19.94,15.87,71.71,33.11
2026-01-02 13:25:00,M02,43.35,19.2,15.73,60.27,147.86
2026-01-02 13:30:00,M03,26.2,15.06,13.8,57.5,140.55
2026-01-02 13:35:00,M02,21.31,18.52,13.29,45.28,87.6
