plant_id,product_id,work_order_id,planned_production_qty,target_cycle_time_sec,shift,Installation_Year,failure_code,failure_severity,repair_time_minutes,technician_id,spare_part_used,maintenance_cost,energy_cost
FR02,P001,WO1002,1064.0,51.0,apres_midi,2015.0,F004,critical,117.0,TECH02,sensor,1113.0,43.31
FR02,P001,WO1002,1180.0,46.0,matin,2017.0,F001,minor,166.0,TECH02,valve,129.0,29.43
FR02,P003,WO1001,1122.0,43.0,apres_midi,2019.0,F001,critical,53.0,TECH01,valve,1218.0,101.63
FR01,P002,WO1001,1021.0,46.0,matin,2013.0,F003,minor,148.0,,bearing,460.0,78.36
FR01,P002,WO1003,977.0,44.0,apres_midi,2014.0,F003,critical,141.0,TECH03,pump,502.0,84.62
FR02,P001,WO1002,987.0,49.0,nuit,2013.0,F002,critical,72.0,TECH01,valve,1684.0,119.36
FR02,P003,WO1002,1012.0,53.0,matin,2018.0,F001,critical,895.2144729942319,TECH01,valve,1349.0,109.45
FR02,P003,WO1001,999.0,48.0,matin,2013.0,F003,minor,81.0,TECH01,bearing,688.0,124.71
FR01,P002,WO1001,1138.0,41.0,matin,2016.0,F003,minor,74.0,TECH02,pump,212.0,31.5
FR02,P003,WO1001,1010.0,43.0,apres_midi,2021.0,,major,111.0,TECH03,sensor,2397.0,30.69
FR01,P002,WO1002,989.0,45.0,matin,2020.0,F002,minor,137.0,TECH03,sensor,1568.0,95.02
FR01,P002,WO1001,1038.0,50.0,matin,2019.0,F002,critical,30.0,TECH02,pump,561.0,139.98
FR01,P002,WO1003,9430.099895068206,44.0,apres_midi,2019.0,F001,minor,71.0,TECH03,valve,2689.0,117.0
FR01,P003,WO1003,911.0,40.0,apres_midi,2014.0,F002,critical,45.0,TECH02,,,
FR01,P002,WO1001,1143.0,48.0,nuit,2012.0,F001,critical,93.0,TECH02,sensor,1373.0,66.02
,P002,WO1003,1081.0,48.0,apres_midi,2013.0,F001,minor,106.0,TECH01,pump,1317.0,93.99
FR02,P001,WO1003,1094.0,42.0,matin,2018.0,F001,major,67.0,TECH01,valve,1414.0,110.5
FR02,P002,,1021.0,43.0,matin,2015.0,F003,minor,64.0,TECH01,bearing,534.0,85.7
FR02,P002,WO1003,952.0,43.0,nuit,2021.0,F004,minor,52.0,TECH03,pump,1681.0,49.98
FR02,P001,WO1003,1072.0,49.0,nuit,2016.0,F003,critical,97.0,TECH01,pump,2337.0,
FR01,P001,WO1002,1078.0,47.0,matin,2012.0,F003,minor,28.0,TECH03,pump,1887.0,
FR02,P003,WO1001,1192.0,45.0,apres_midi,2013.0,F002,major,97.0,TECH01,sensor,1569.0,52.49
FR02,P002,WO1003,958.0,54.0,matin,2020.0,F003,critical,895.2144729942319,TECH01,sensor,1155.0,88.61
FR01,P003,WO1001,953.0,41.0,,2017.0,F001,minor,,TECH03,valve,500.0,64.57
FR02,P003,WO1003,1156.0,43.0,matin,2018.0,F004,major,139.0,TECH03,valve,1622.0,28.68
FR01,P001,WO1002,1144.0,40.0,matin,2016.0,F002,critical,135.0,,sensor,2815.0,81.4
FR02,P003,WO1002,1048.0,42.0,matin,2020.0,,major,33.0,TECH02,valve,696.0,145.95
FR01,P002,WO1003,,43.0,nuit,2021.0,F002,major,54.0,TECH03,pump,2915.0,
FR02,P001,WO1003,915.0,47.0,,2016.0,F003,critical,83.0,TECH03,sensor,918.0,77.33
FR02,P002,WO1003,1075.0,42.0,nuit,,F003,minor,125.0,TECH01,valve,2141.0,126.79
FR01,P002,WO1002,927.0,44.0,apres_midi,2021.0,F003,major,172.0,TECH01,sensor,1142.0,143.48
FR01,P001,WO1002,,40.0,nuit,2020.0,F003,critical,116.0,TECH03,sensor,1476.0,27.27
FR01,P002,WO1001,1122.0,52.0,apres_midi,2016.0,F002,minor,28.0,TECH01,sensor,1308.0,117.46
FR01,P001,WO1002,1143.0,43.0,apres_midi,2015.0,F002,major,62.0,TECH02,sensor,611.0,61.85
FR01,P002,WO1003,1137.0,41.0,nuit,2016.0,F001,critical,29.0,,pump,2990.0,
FR01,P001,WO1001,9430.099895068206,43.0,apres_midi,2016.0,F002,major,52.0,TECH02,pump,1348.0,118.25
FR01,P003,WO1002,991.0,44.0,apres_midi,2016.0,F002,minor,156.0,TECH03,valve,1082.0,81.23
,P002,WO1002,902.0,42.0,matin,2012.0,F003,minor,,TECH02,sensor,2794.0,46.92
FR02,,WO1003,980.0,53.0,apres_midi,2016.0,F001,minor,32.0,TECH01,sensor,2539.0,113.27
FR02,P002,WO1001,943.0,45.0,,2016.0,F004,critical,171.0,TECH01,pump,1874.0,48.74
FR01,P002,WO1002,1054.0,,nuit,2012.0,F002,minor,81.0,TECH03,valve,12358.636650536504,101.8
FR02,P002,WO1002,923.0,54.0,,2015.0,F004,minor,147.0,TECH03,pump,2745.0,63.45
FR02,P001,WO1003,998.0,41.0,apres_midi,2019.0,F003,critical,78.0,TECH02,,1150.0,49.5
FR02,P003,WO1001,1070.0,44.0,apres_midi,2015.0,F003,minor,75.0,TECH01,bearing,651.0,25.16
FR02,P003,WO1001,1047.0,43.0,apres_midi,2018.0,,minor,83.0,TECH01,valve,2503.0,40.34
FR01,,WO1001,1022.0,44.0,nuit,2017.0,F004,minor,79.0,TECH02,,2256.0,141.5
FR02,P001,WO1001,1011.0,52.0,nuit,2016.0,F001,critical,42.0,,bearing,2166.0,78.58
FR01,P003,WO1003,1029.0,48.0,matin,2020.0,F002,minor,,TECH02,,224.0,129.85
FR02,P001,WO1002,9430.099895068206,45.0,apres_midi,2019.0,F002,major,127.0,TECH02,valve,2483.0,118.87
FR02,P002,WO1002,1116.0,,matin,2016.0,F002,critical,80.0,TECH02,valve,635.0,109.98
FR02,P002,WO1001,995.0,53.0,,2021.0,F002,major,63.0,TECH02,valve,865.0,115.79
FR01,P003,WO1001,1044.0,50.0,apres_midi,2018.0,F001,critical,76.0,TECH03,bearing,1275.0,41.8
FR02,P001,,932.0,47.0,apres_midi,2020.0,F003,critical,62.0,TECH02,bearing,257.0,52.06
FR01,P002,WO1002,1185.0,54.0,matin,2018.0,F004,critical,,TECH01,sensor,784.0,121.2
FR02,P001,WO1002,904.0,48.0,apres_midi,2014.0,F003,major,173.0,TECH03,valve,710.0,106.83
FR01,P001,,1017.0,53.0,nuit,2021.0,,minor,112.0,TECH02,pump,1365.0,125.51
FR02,P002,WO1003,1039.0,44.0,matin,2016.0,F002,minor,131.0,TECH02,pump,1300.0,109.15
FR01,P001,WO1002,1129.0,47.0,matin,2020.0,F003,minor,171.0,TECH01,valve,1286.0,122.12
FR01,P002,WO1002,1059.0,41.0,apres_midi,2020.0,F002,minor,138.0,TECH02,pump,2295.0,
FR02,P002,WO1001,1193.0,49.0,nuit,2019.0,F004,critical,93.0,TECH01,pump,1415.0,
,P002,WO1003,1148.0,48.0,apres_midi,2017.0,F003,critical,158.0,TECH01,valve,2517.0,62.07
FR02,P001,WO1001,1172.0,41.0,matin,2018.0,F002,major,123.0,TECH02,sensor,2827.0,28.83
FR02,P002,WO1001,1085.0,52.0,matin,2018.0,F001,minor,895.2144729942319,TECH03,bearing,208.0,46.17
FR02,P001,WO1003,939.0,54.0,nuit,2012.0,F004,critical,20.0,TECH03,pump,444.0,39.73
FR02,P002,WO1003,1123.0,51.0,matin,2019.0,F002,minor,68.0,TECH02,valve,1493.0,81.41
FR02,P002,,1051.0,44.0,nuit,2017.0,F002,minor,67.0,TECH02,,121.0,137.58
FR02,P003,,1039.0,45.0,apres_midi,2018.0,F001,major,30.0,TECH03,valve,1316.0,60.42
FR02,P003,WO1001,1027.0,43.0,nuit,2021.0,F004,critical,156.0,TECH02,sensor,1890.0,87.22
FR02,P003,WO1002,1046.0,47.0,apres_midi,2021.0,F001,minor,80.0,TECH02,pump,838.0,125.96
FR02,P001,WO1003,1184.0,49.0,apres_midi,,F004,major,140.0,TECH01,pump,2298.0,133.24
FR02,,WO1002,1117.0,54.0,matin,2018.0,F002,major,107.0,TECH03,pump,,56.17
FR02,P002,WO1003,,,apres_midi,2019.0,F002,minor,120.0,TECH01,pump,2234.0,88.03
FR01,P002,WO1003,1044.0,50.0,matin,2016.0,F004,minor,118.0,TECH03,sensor,1161.0,53.33
FR01,P002,WO1001,1176.0,52.0,nuit,2012.0,F002,major,41.0,TECH01,valve,738.0,74.53
FR02,P002,WO1001,1141.0,44.0,nuit,2017.0,F003,major,123.0,TECH03,sensor,490.0,71.0
FR02,P001,WO1001,959.0,,apres_midi,2014.0,F002,minor,90.0,TECH03,bearing,1226.0,28.33
FR02,P002,WO1002,997.0,42.0,nuit,2016.0,F004,minor,49.0,TECH01,bearing,812.0,23.55
FR02,,WO1001,1080.0,47.0,,2020.0,,major,79.0,TECH02,sensor,320.0,100.33
FR02,P003,WO1003,1013.0,50.0,nuit,2018.0,F004,critical,74.0,TECH03,bearing,1292.0,42.33
FR02,P002,WO1001,1002.0,44.0,,2019.0,F003,major,146.0,TECH02,sensor,2766.0,39.29
FR02,P002,WO1002,956.0,53.0,apres_midi,2017.0,F003,major,,TECH02,pump,2733.0,66.56
FR02,P002,WO1001,1184.0,42.0,nuit,2020.0,F001,critical,156.0,TECH01,sensor,1683.0,50.09
FR01,P001,,1028.0,44.0,nuit,2014.0,F001,minor,148.0,TECH02,pump,477.0,116.91
FR02,P003,WO1001,985.0,48.0,nuit,2012.0,F003,major,150.0,TECH02,valve,1612.0,104.41
FR01,P002,WO1002,1099.0,42.0,nuit,2021.0,F003,minor,158.0,TECH03,valve,2129.0,145.11
FR02,,WO1003,970.0,51.0,apres_midi,2015.0,F003,critical,151.0,TECH03,pump,505.0,72.26
FR02,P003,WO1003,997.0,54.0,apres_midi,2019.0,F001,major,,TECH03,sensor,1314.0,23.45
FR01,P002,WO1003,1199.0,49.0,nuit,2017.0,F001,minor,167.0,TECH02,sensor,2103.0,130.09
FR02,P001,WO1001,1075.0,46.0,nuit,2018.0,F001,minor,103.0,TECH03,pump,2997.0,35.95
FR01,P002,WO1001,1132.0,47.0,matin,2020.0,F003,minor,168.0,TECH03,bearing,283.0,54.94
FR02,P001,WO1002,974.0,44.0,apres_midi,2013.0,F003,minor,77.0,TECH03,sensor,1151.0,101.95
FR02,P001,WO1003,1042.0,42.0,apres_midi,2018.0,F004,minor,70.0,TECH01,pump,2316.0,80.01
FR01,P002,WO1001,922.0,50.0,nuit,2015.0,F002,minor,90.0,TECH02,bearing,206.0,
FR02,P003,WO1001,1080.0,45.0,matin,2018.0,F002,major,163.0,TECH01,bearing,411.0,45.19
FR01,P001,WO1001,944.0,52.0,nuit,,F001,,94.0,TECH01,pump,237.0,96.11
FR02,P003,WO1002,991.0,51.0,apres_midi,2013.0,F001,critical,48.0,TECH01,sensor,2902.0,79.03
FR01,P002,WO1003,1168.0,42.0,apres_midi,2018.0,F002,minor,61.0,TECH03,bearing,1164.0,96.34
FR01,P001,WO1002,933.0,48.0,matin,2019.0,F001,critical,117.0,TECH01,bearing,2856.0,134.66
FR02,P002,WO1003,1065.0,41.0,nuit,2012.0,F003,major,139.0,TECH02,bearing,1935.0,89.35
FR02,P003,WO1003,969.0,52.0,matin,2021.0,F002,critical,93.0,TECH01,,1152.0,116.32
FR01,P002,WO1001,1095.0,42.0,nuit,2016.0,F003,major,169.0,TECH01,pump,2775.0,116.73
FR02,P002,WO1001,1032.0,46.0,matin,2020.0,F002,major,127.0,TECH02,valve,149.0,106.07
FR02,P001,WO1001,1146.0,53.0,nuit,2013.0,F002,critical,103.0,TECH03,bearing,596.0,82.84
FR02,P002,WO1001,1067.0,53.0,nuit,2017.0,F001,major,143.0,TECH01,bearing,1143.0,20.44
FR01,P002,WO1001,1176.0,49.0,nuit,2013.0,F003,major,21.0,TECH02,pump,12358.636650536504,35.75
FR01,P002,,1055.0,47.0,apres_midi,2014.0,F003,critical,155.0,TECH01,bearing,107.0,90.6
FR01,P001,WO1001,922.0,44.0,nuit,2017.0,F004,critical,133.0,TECH01,pump,1852.0,
FR01,P003,WO1001,1099.0,44.0,apres_midi,2016.0,F003,minor,60.0,TECH03,bearing,804.0,25.89
FR01,P003,WO1002,1174.0,44.0,matin,2015.0,F003,critical,147.0,TECH02,pump,1223.0,36.4
FR01,P002,WO1002,949.0,43.0,nuit,2018.0,F001,major,108.0,TECH01,pump,1423.0,50.31
FR01,P001,WO1003,1085.0,48.0,apres_midi,2014.0,F004,minor,158.0,TECH01,sensor,883.0,149.95
FR01,P002,,919.0,45.0,matin,2021.0,F003,major,43.0,TECH02,sensor,1192.0,35.64
FR01,P003,WO1002,1015.0,52.0,nuit,2018.0,F001,critical,173.0,TECH01,pump,533.0,55.26
,P001,WO1002,991.0,51.0,matin,,F002,major,54.0,TECH03,pump,2133.0,108.77
,P003,WO1001,952.0,52.0,apres_midi,2013.0,F003,,152.0,TECH02,bearing,2262.0,107.97
FR02,P003,WO1001,1022.0,47.0,apres_midi,2016.0,F001,critical,162.0,TECH03,bearing,2800.0,133.72
FR02,P001,,1164.0,47.0,nuit,2012.0,F002,critical,125.0,TECH02,sensor,804.0,99.39
FR02,P001,WO1002,903.0,44.0,apres_midi,2018.0,F003,,33.0,TECH01,bearing,1963.0,54.55
FR01,P002,WO1003,1068.0,51.0,apres_midi,2013.0,F003,critical,37.0,TECH02,pump,2532.0,51.1
FR01,P002,WO1001,,48.0,matin,2016.0,F001,major,123.0,TECH02,valve,2679.0,
FR01,P003,WO1003,1189.0,41.0,nuit,2012.0,F002,minor,87.0,,pump,764.0,32.71
FR01,P001,WO1003,972.0,53.0,nuit,2012.0,F002,minor,76.0,TECH01,pump,384.0,82.51
FR02,,WO1003,1036.0,,nuit,2015.0,F002,minor,,TECH01,bearing,600.0,82.77
FR01,P002,WO1001,1155.0,42.0,matin,2018.0,F002,major,163.0,TECH03,bearing,2400.0,116.07
FR01,P003,,,46.0,apres_midi,2018.0,F003,critical,131.0,TECH03,pump,373.0,149.41
FR01,P003,WO1001,1107.0,52.0,nuit,2019.0,F002,minor,81.0,TECH01,bearing,1496.0,84.52
FR01,P002,WO1002,1159.0,48.0,nuit,2020.0,F001,,42.0,TECH01,pump,2613.0,120.8
,P001,WO1003,1162.0,53.0,matin,2015.0,F001,critical,102.0,TECH02,pump,1564.0,130.7
FR02,P002,WO1003,1170.0,50.0,matin,,F003,major,123.0,TECH01,pump,2729.0,24.43
FR01,P002,WO1001,937.0,44.0,nuit,2021.0,F001,minor,70.0,TECH03,pump,1215.0,102.65
FR02,P002,WO1003,1102.0,54.0,nuit,2021.0,F004,major,20.0,TECH01,sensor,2721.0,134.97
FR01,P002,WO1001,1123.0,50.0,matin,2014.0,F003,minor,96.0,TECH03,bearing,2737.0,113.66
FR02,P001,WO1003,951.0,,matin,2020.0,F004,minor,23.0,TECH01,pump,2301.0,120.55
FR01,P002,WO1002,980.0,43.0,matin,2019.0,F002,critical,74.0,TECH01,,2414.0,125.42
FR01,P001,WO1002,1110.0,,matin,2017.0,F004,critical,108.0,TECH02,,632.0,22.52
FR02,P002,WO1002,906.0,53.0,apres_midi,2014.0,F003,minor,,TECH03,bearing,296.0,140.75
FR02,P003,WO1003,944.0,40.0,apres_midi,2021.0,F002,minor,126.0,TECH01,bearing,258.0,137.81
FR02,P001,WO1003,1176.0,40.0,nuit,2019.0,F001,,49.0,TECH02,sensor,2709.0,98.17
FR01,P003,WO1002,1158.0,45.0,apres_midi,2013.0,F003,minor,161.0,TECH02,,482.0,65.35
FR02,P002,,1041.0,47.0,matin,2015.0,F002,minor,177.0,TECH03,sensor,2557.0,
FR01,P002,WO1001,1157.0,,nuit,2015.0,F003,minor,24.0,TECH02,pump,1171.0,89.58
FR01,P002,WO1001,1184.0,41.0,matin,2020.0,F002,major,34.0,TECH03,sensor,,57.92
FR02,P001,WO1002,936.0,50.0,apres_midi,,F003,minor,895.2144729942319,TECH03,bearing,,93.59
FR02,P003,WO1002,944.0,43.0,matin,2018.0,F003,minor,67.0,TECH03,pump,439.0,100.33
FR01,P001,WO1003,1019.0,42.0,nuit,,F003,critical,116.0,TECH02,bearing,495.0,114.7
FR01,P001,WO1002,945.0,52.0,apres_midi,2018.0,F003,critical,44.0,TECH02,sensor,624.0,28.55
FR02,P002,WO1001,1039.0,48.0,nuit,2012.0,F004,major,895.2144729942319,TECH03,valve,446.0,28.68
FR02,P003,WO1001,952.0,42.0,apres_midi,2019.0,F002,critical,78.0,TECH02,pump,2622.0,139.93
FR02,P002,WO1001,1187.0,50.0,matin,2019.0,F002,minor,146.0,TECH02,pump,1651.0,116.79
FR01,P001,WO1001,1173.0,47.0,nuit,2020.0,F003,major,24.0,TECH03,valve,2073.0,64.46
FR01,P002,WO1001,1168.0,53.0,apres_midi,2020.0,F003,minor,119.0,TECH03,pump,935.0,23.21
FR01,P003,WO1001,1178.0,,apres_midi,2012.0,F001,minor,153.0,,bearing,2544.0,99.22
FR01,P002,WO1002,,40.0,apres_midi,2021.0,F002,minor,38.0,TECH03,bearing,848.0,52.37
FR01,P003,WO1001,953.0,47.0,apres_midi,2018.0,F004,major,87.0,TECH03,sensor,1782.0,27.55
FR01,P003,WO1001,968.0,48.0,matin,2012.0,,critical,43.0,TECH01,bearing,1716.0,118.16
FR02,P002,WO1001,1141.0,,matin,2017.0,F002,critical,109.0,TECH03,sensor,298.0,146.97
FR01,P001,WO1001,1169.0,49.0,apres_midi,2016.0,F002,critical,166.0,TECH01,pump,1016.0,117.13
FR01,P002,WO1002,1151.0,49.0,matin,2013.0,F001,minor,78.0,TECH02,bearing,2385.0,34.57
FR01,P001,WO1003,1183.0,40.0,matin,2014.0,F004,major,80.0,TECH02,bearing,280.0,67.81
FR02,P001,WO1003,970.0,54.0,apres_midi,2019.0,F003,critical,51.0,TECH01,bearing,1777.0,52.27
,,WO1003,999.0,50.0,matin,2013.0,F004,major,125.0,TECH01,bearing,1475.0,68.62
FR01,P001,WO1003,960.0,52.0,nuit,2015.0,F003,major,64.0,TECH01,bearing,1644.0,92.48
FR02,P001,WO1001,1002.0,50.0,nuit,2014.0,F003,minor,149.0,TECH01,pump,1390.0,102.53
FR01,P002,WO1003,1018.0,46.0,matin,2018.0,,major,64.0,TECH01,pump,1530.0,60.07
FR01,P002,WO1003,916.0,52.0,apres_midi,,F001,critical,42.0,TECH01,valve,1793.0,107.65
FR01,P002,WO1002,1090.0,48.0,nuit,2015.0,F001,critical,125.0,TECH01,pump,1042.0,108.96
FR01,P001,WO1002,1111.0,53.0,,2017.0,F003,major,88.0,TECH02,pump,1242.0,149.1
FR01,P003,WO1002,977.0,44.0,matin,2014.0,F001,major,156.0,TECH01,sensor,360.0,82.54
FR02,P001,WO1001,945.0,41.0,,,F001,major,,TECH01,valve,1665.0,62.74
FR02,P003,WO1001,992.0,53.0,apres_midi,,F001,major,124.0,TECH02,sensor,2902.0,131.52
FR02,P002,WO1001,912.0,47.0,matin,2018.0,F001,critical,107.0,TECH02,sensor,2877.0,41.86
FR01,P003,WO1002,1127.0,54.0,apres_midi,2015.0,F003,critical,68.0,TECH01,sensor,2471.0,78.09
FR01,P002,,916.0,48.0,nuit,2021.0,F001,minor,45.0,TECH01,sensor,702.0,101.45
FR01,P002,WO1002,961.0,46.0,nuit,2020.0,F004,major,46.0,TECH03,pump,272.0,38.52
FR02,P003,WO1001,942.0,51.0,matin,2021.0,,critical,102.0,TECH01,valve,457.0,27.1
FR01,P002,WO1002,967.0,,matin,2019.0,F003,major,153.0,TECH03,sensor,2905.0,71.63
,P003,WO1003,1111.0,44.0,apres_midi,2017.0,F002,critical,126.0,TECH03,valve,2142.0,65.49
FR02,P002,WO1001,,47.0,nuit,2013.0,F001,minor,106.0,TECH02,pump,755.0,116.85
FR01,P001,WO1003,1113.0,54.0,apres_midi,2021.0,F004,critical,85.0,TECH03,valve,2987.0,89.31
FR02,P001,WO1003,1008.0,45.0,matin,2018.0,F002,critical,80.0,TECH01,valve,2748.0,22.95
FR02,P002,WO1001,1183.0,51.0,matin,2020.0,F004,minor,86.0,TECH03,pump,1083.0,139.49
FR02,P002,WO1003,993.0,,matin,2020.0,F004,major,85.0,TECH02,bearing,780.0,131.91
FR01,P003,WO1002,1124.0,40.0,matin,2020.0,F002,critical,62.0,TECH03,sensor,1315.0,29.72
FR01,P001,WO1003,1124.0,45.0,matin,2020.0,F001,minor,172.0,TECH03,sensor,2838.0,53.14
FR01,P003,WO1003,1138.0,47.0,matin,2017.0,,minor,126.0,TECH03,pump,632.0,101.1
FR01,P002,,1017.0,42.0,apres_midi,2012.0,F003,minor,,TECH03,valve,1230.0,
FR01,P002,WO1002,990.0,51.0,apres_midi,2017.0,F003,critical,32.0,TECH03,pump,2589.0,146.6
FR01,,WO1003,1188.0,46.0,apres_midi,2016.0,F001,major,102.0,TECH03,bearing,2227.0,74.69
FR01,P002,WO1003,1180.0,52.0,nuit,2018.0,F001,critical,43.0,TECH03,valve,844.0,
FR02,P001,WO1002,918.0,51.0,apres_midi,2019.0,F004,,137.0,TECH02,bearing,1042.0,86.46
FR01,P003,WO1001,1074.0,46.0,matin,2012.0,F003,critical,116.0,TECH01,pump,,60.08
FR02,P001,WO1001,1005.0,48.0,apres_midi,2021.0,F003,minor,96.0,TECH02,pump,811.0,110.6
FR01,P001,WO1001,1188.0,40.0,apres_midi,2015.0,F004,major,114.0,TECH03,,2758.0,81.8
FR01,P001,WO1003,1147.0,44.0,nuit,2015.0,F004,critical,27.0,TECH03,bearing,1769.0,102.65
FR01,P003,WO1001,1041.0,47.0,matin,2012.0,F002,major,77.0,TECH02,sensor,1352.0,71.1
FR02,P002,WO1002,1197.0,52.0,nuit,2015.0,F002,,177.0,TECH03,bearing,1326.0,149.66
FR02,P001,WO1003,1092.0,52.0,nuit,2018.0,F001,major,38.0,TECH02,bearing,1805.0,46.86
FR02,P001,WO1003,1190.0,42.0,nuit,2017.0,F003,minor,49.0,TECH03,bearing,1902.0,43.8
FR02,P001,WO1003,1107.0,44.0,apres_midi,2015.0,F004,major,74.0,TECH03,pump,,21.23
FR01,P002,WO1001,1147.0,53.0,matin,2013.0,F003,minor,36.0,TECH01,bearing,795.0,133.17
FR02,P002,WO1001,1041.0,,matin,2018.0,F001,,117.0,TECH03,sensor,305.0,40.43
FR01,P003,,1121.0,48.0,nuit,2019.0,F003,major,145.0,TECH01,bearing,1734.0,52.06
,P002,WO1003,1124.0,43.0,matin,2020.0,F004,critical,56.0,TECH01,sensor,2656.0,46.83
FR02,P003,WO1002,1083.0,44.0,matin,2020.0,F004,critical,74.0,TECH02,valve,1001.0,147.3
FR02,P003,WO1003,1087.0,,nuit,,F004,critical,135.0,TECH01,sensor,867.0,
FR02,P003,WO1002,1012.0,53.0,apres_midi,2014.0,F001,critical,895.2144729942319,TECH02,pump,2308.0,117.38
FR02,P003,WO1003,1080.0,41.0,nuit,,F004,major,88.0,TECH02,valve,1262.0,70.45
FR02,P003,WO1002,1098.0,51.0,nuit,2017.0,F002,critical,61.0,TECH01,pump,2046.0,20.88
FR02,P001,WO1003,969.0,53.0,apres_midi,2019.0,F004,critical,84.0,TECH02,pump,12358.636650536504,145.82
FR02,P002,WO1003,985.0,46.0,apres_midi,2014.0,F003,minor,99.0,TECH01,valve,604.0,46.43
FR02,P001,WO1002,938.0,50.0,apres_midi,2017.0,F004,major,113.0,TECH03,sensor,,28.55
FR01,P003,WO1002,1030.0,,apres_midi,2016.0,F004,minor,29.0,TECH02,pump,767.0,69.44
FR02,P002,WO1002,9430.099895068206,50.0,nuit,2018.0,F003,minor,43.0,TECH01,sensor,,56.23
FR02,P001,WO1002,902.0,49.0,apres_midi,2020.0,F001,critical,40.0,TECH01,pump,771.0,142.73
FR01,P001,WO1002,1049.0,53.0,matin,2018.0,F001,critical,122.0,TECH01,pump,1135.0,23.55
FR02,P003,WO1002,966.0,42.0,nuit,2017.0,F001,major,98.0,TECH01,valve,2392.0,147.25
FR01,P001,WO1002,1092.0,,nuit,2020.0,F001,,152.0,TECH03,valve,351.0,96.27
FR01,P001,WO1002,996.0,41.0,apres_midi,2021.0,F004,critical,134.0,,sensor,474.0,58.98
FR02,P001,WO1003,918.0,49.0,apres_midi,2015.0,F004,minor,41.0,TECH01,valve,2631.0,132.86
FR01,P001,WO1002,997.0,45.0,matin,2012.0,F002,critical,155.0,TECH02,pump,1209.0,74.22
FR01,P001,WO1002,956.0,49.0,apres_midi,2019.0,F001,critical,71.0,TECH01,bearing,1779.0,89.24
FR01,P003,WO1003,1006.0,45.0,nuit,2017.0,F003,critical,148.0,TECH02,bearing,1890.0,38.55
FR01,P003,WO1003,987.0,42.0,apres_midi,2017.0,,critical,895.2144729942319,TECH01,bearing,2101.0,134.44
