maintenance_event_id,timestamp,machine_id,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,maintenance_type,failure_type,failure_code,failure_severity,repair_time_minutes,downtime_minutes,technician_id,spare_part_used,maintenance_cost
MEV0031,2026-01-01 08:35:00,M03,70.0,11.0,6.0,preventive,mechanical,F004,major,73.0,43.0,TECH01,bearing,418.0
MEV0032,2026-01-01 08:40:00,M01,9.0,,2.0,preventive,mechanical,F003,critical,47.0,165.0,TECH02,pump,
MEV0033,2026-01-01 08:45:00,M04,72.0,11.0,,corrective,mechanical,F004,major,65.0,17.0,TECH01,valve,767.0
MEV0034,2026-01-01 08:50:00,M02,26.0,21.0,2.0,preventive,none,,major,39.0,163.0,TECH01,bearing,1825.0
MEV0035,2026-01-01 08:55:00,M01,5.0,21.0,12.0,,none,F001,critical,108.0,114.0,TECH02,sensor,1355.0
MEV0036,2026-01-01 09:00:00,M04,19.0,22.0,0.0,corrective,hydraulic,F003,major,121.0,69.0,TECH03,pump,200.0
MEV0037,2026-01-01 09:05:00,M02,114.0,28.0,5.0,preventive,hydraulic,F003,minor,151.0,190.0,TECH01,valve,1622.0
MEV0038,2026-01-01 09:10:00,M04,62.0,8.0,7.0,preventive,hydraulic,F001,minor,146.0,,TECH03,bearing,
MEV0039,2026-01-01 09:15:00,M01,35.0,20.0,4.0,preventive,hydraulic,F004,critical,37.0,146.0,TECH01,sensor,1660.0
MEV0040,2026-01-01 09:20:00,M04,80.0,6.0,14.0,corrective,mechanical,F003,minor,127.0,206.0,TECH02,bearing,1787.0
MEV0041,2026-01-01 09:25:00,M03,9.0,22.0,6.0,preventive,mechanical,F004,critical,82.0,205.0,TECH01,sensor,462.0
MEV0042,2026-01-01 09:30:00,M04,20.0,17.0,49.32201613748297,preventive,mechanical,F003,critical,48.0,114.0,TECH02,sensor,2842.0
MEV0043,,M03,12.0,6.0,,corrective,hydraulic,F004,major,126.0,90.0,TECH01,sensor,2035.0
MEV0044,2026-01-01 09:40:00,M03,111.0,22.0,10.0,preventive,none,F001,major,53.0,20.0,TECH01,pump,2479.0
MEV0045,2026-01-01 09:45:00,M02,87.0,19.0,14.0,preventive,hydraulic,F004,critical,135.0,69.0,TECH01,valve,370.0
MEV0046,2026-01-01 09:50:00,M02,100.0,16.0,3.0,preventive,electrical,F001,critical,60.0,36.0,TECH02,sensor,1238.0
MEV0047,2026-01-01 09:55:00,M01,70.0,12.0,1.0,corrective,electrical,F003,major,116.0,162.0,TECH02,bearing,1777.0
MEV0048,2026-01-01 10:00:00,M03,2.0,17.0,10.0,preventive,mechanical,F001,minor,32.0,7.0,TECH03,sensor,2373.0
MEV0049,2026-01-01 10:05:00,M01,93.0,28.0,10.0,preventive,mechanical,F003,major,167.0,109.0,,valve,2857.0
MEV0050,,M03,50.0,6.0,10.0,corrective,hydraulic,,major,141.0,69.0,TECH03,valve,858.0
MEV0051,2026-01-01 10:15:00,,66.0,3.0,2.0,preventive,none,F004,major,82.0,93.0,TECH01,bearing,2037.0
MEV0052,,M04,50.0,10.0,2.0,preventive,mechanical,F002,minor,108.0,8.0,TECH02,valve,2704.0
MEV0053,2026-01-01 10:25:00,M02,37.0,21.0,10.0,preventive,none,F004,major,84.0,83.0,TECH03,sensor,897.0
MEV0054,2026-01-01 10:30:00,M03,59.0,20.0,12.0,corrective,mechanical,F004,critical,,1065.3580960386676,TECH01,valve,541.0
MEV0055,2026-01-01 10:35:00,M02,53.0,16.0,1.0,preventive,mechanical,F003,critical,102.0,20.0,TECH03,sensor,2607.0
MEV0056,2026-01-01 10:40:00,M02,68.0,23.0,0.0,preventive,mechanical,F002,major,22.0,196.0,TECH03,pump,1849.0
MEV0057,2026-01-01 10:45:00,M03,71.0,19.0,5.0,preventive,none,F004,major,32.0,218.0,TECH02,pump,1893.0
MEV0058,2026-01-01 10:50:00,M03,88.0,29.0,12.0,corrective,mechanical,F004,major,121.0,121.0,TECH02,sensor,2737.0
MEV0059,2026-01-01 10:55:00,M04,24.0,19.0,6.0,preventive,none,F004,critical,146.0,107.0,TECH01,sensor,2675.0
MEV0060,2026-01-01 11:00:00,M02,8.0,13.0,3.0,preventive,none,F002,minor,150.0,78.0,TECH03,sensor,2772.0
MEV0061,2026-01-01 11:05:00,M04,33.0,11.0,6.0,corrective,,F003,minor,45.0,211.0,TECH01,bearing,1153.0
MEV0062,2026-01-01 11:10:00,M02,5.0,27.0,14.0,preventive,hydraulic,,major,53.0,233.0,TECH02,valve,1659.0
MEV0063,2026-01-01 11:15:00,M02,12.0,5.0,12.0,corrective,mechanical,F004,minor,47.0,159.0,TECH03,bearing,1072.0
MEV0064,2026-01-01 11:20:00,M04,10.0,2.0,2.0,preventive,,F001,critical,139.0,1065.3580960386676,TECH02,bearing,1625.0
MEV0065,2026-01-01 11:25:00,M01,56.0,29.0,8.0,preventive,mechanical,F003,critical,42.0,14.0,TECH03,bearing,752.0
MEV0066,2026-01-01 11:30:00,M03,23.0,0.0,5.0,preventive,electrical,F003,minor,140.0,16.0,TECH01,bearing,1250.0
MEV0067,2026-01-01 11:35:00,M04,,28.0,12.0,corrective,mechanical,F002,critical,130.0,29.0,TECH03,valve,1762.0
MEV0068,2026-01-01 11:40:00,M01,28.0,14.0,14.0,preventive,none,F004,critical,44.0,1065.3580960386676,TECH02,,1682.0
,2026-01-01 11:45:00,M02,8.0,8.0,12.0,preventive,electrical,F004,minor,111.0,237.0,TECH02,sensor,7834.856088560886
MEV0070,2026-01-01 11:50:00,M04,5.0,16.0,12.0,preventive,electrical,F002,critical,136.0,189.0,TECH02,,998.0
,2026-01-01 11:55:00,M02,91.0,5.0,4.0,preventive,none,,major,84.0,26.0,TECH03,sensor,371.0
MEV0072,2026-01-01 12:00:00,M03,97.0,11.0,5.0,preventive,mechanical,F004,major,159.0,192.0,TECH03,bearing,
MEV0073,2026-01-01 12:05:00,M03,66.0,6.0,14.0,corrective,mechanical,F003,minor,125.0,164.0,TECH03,pump,
MEV0074,2026-01-01 12:10:00,M03,63.0,14.0,11.0,preventive,mechanical,F003,major,58.0,68.0,TECH03,valve,2387.0
MEV0075,2026-01-01 12:15:00,M03,51.0,10.0,14.0,preventive,hydraulic,F003,critical,52.0,190.0,TECH02,bearing,2021.0
MEV0076,2026-01-01 12:20:00,M01,89.0,4.0,13.0,corrective,mechanical,F001,critical,42.0,9.0,TECH03,bearing,901.0
MEV0077,2026-01-01 12:25:00,M04,28.0,17.0,1.0,corrective,hydraulic,F002,major,25.0,201.0,TECH01,pump,783.0
MEV0078,,M02,1.0,12.0,11.0,corrective,hydraulic,F001,major,155.0,99.0,TECH02,bearing,770.0
MEV0079,,M04,26.0,2.0,11.0,preventive,mechanical,F003,minor,99.0,27.0,TECH03,sensor,1025.0
MEV0080,2026-01-01 12:40:00,M01,93.0,3.0,8.0,corrective,none,,major,114.0,94.0,TECH01,sensor,1765.0
MEV0081,2026-01-01 12:45:00,M02,52.0,8.0,10.0,preventive,mechanical,F004,major,57.0,189.0,TECH02,bearing,2171.0
MEV0082,2026-01-01 12:50:00,M03,102.0,18.0,1.0,preventive,hydraulic,F004,minor,115.0,21.0,TECH02,valve,2788.0
MEV0083,2026-01-01 12:55:00,M01,,7.0,6.0,preventive,hydraulic,F002,major,23.0,70.0,TECH01,valve,1224.0
MEV0084,2026-01-01 13:00:00,M03,42.0,9.0,14.0,preventive,hydraulic,F004,critical,25.0,198.0,TECH02,bearing,2063.0
MEV0085,2026-01-01 13:05:00,M01,8.0,23.0,6.0,preventive,mechanical,F001,major,105.0,,,valve,308.0
MEV0086,2026-01-01 13:10:00,M01,61.0,24.0,4.0,corrective,mechanical,F003,major,133.0,7.0,TECH01,pump,1965.0
MEV0087,2026-01-01 13:15:00,M04,41.0,7.0,3.0,corrective,electrical,F004,minor,143.0,159.0,TECH02,valve,1055.0
MEV0088,2026-01-01 13:20:00,M02,76.0,1.0,3.0,preventive,hydraulic,F004,minor,173.0,,TECH02,bearing,1813.0
,2026-01-01 13:25:00,M04,6.0,4.0,14.0,preventive,mechanical,F002,major,65.0,58.0,TECH02,bearing,1591.0
MEV0090,2026-01-01 13:30:00,M04,12.0,12.0,10.0,preventive,hydraulic,F004,critical,123.0,81.0,TECH02,bearing,1582.0
MEV0091,2026-01-01 13:35:00,M02,45.0,1.0,7.0,preventive,electrical,F001,minor,50.0,,TECH03,sensor,2105.0
MEV0092,2026-01-01 13:40:00,M02,112.0,22.0,0.0,preventive,none,F004,minor,131.0,100.0,TECH01,,
MEV0093,2026-01-01 13:45:00,M03,3.0,1.0,0.0,,hydraulic,F002,critical,122.0,148.0,TECH03,pump,100.0
MEV0094,2026-01-01 13:50:00,M02,,29.0,5.0,preventive,electrical,F004,major,118.0,37.0,TECH01,sensor,1331.0
MEV0095,2026-01-01 13:55:00,M04,19.0,17.0,4.0,preventive,mechanical,F003,critical,167.0,48.0,TECH03,pump,2261.0
MEV0096,2026-01-01 14:00:00,M04,9.0,13.0,11.0,preventive,mechanical,F003,major,108.0,,TECH02,valve,1033.0
MEV0097,2026-01-01 14:05:00,M01,17.0,29.0,11.0,preventive,electrical,F003,minor,100.0,,TECH02,valve,1137.0
,2026-01-01 14:10:00,M03,36.0,7.0,13.0,preventive,electrical,F001,minor,147.0,39.0,TECH01,valve,2280.0
MEV0099,2026-01-01 14:15:00,M01,23.0,,11.0,corrective,electrical,F001,minor,125.0,125.0,TECH03,bearing,1612.0
MEV0100,2026-01-01 14:20:00,M04,98.0,28.0,10.0,preventive,mechanical,F004,major,69.0,27.0,TECH02,bearing,1629.0
MEV0101,2026-01-01 14:25:00,,35.0,19.0,0.0,preventive,mechanical,F003,major,140.0,202.0,TECH03,pump,312.0
MEV0102,2026-01-01 14:30:00,M04,8.0,16.0,49.32201613748297,preventive,mechanical,F001,major,82.0,52.0,TECH01,valve,1684.0
MEV0103,2026-01-01 14:35:00,M04,81.0,13.0,8.0,preventive,electrical,F003,minor,119.0,215.0,TECH03,pump,2928.0
MEV0104,2026-01-01 14:40:00,M01,47.0,23.0,14.0,preventive,hydraulic,F004,major,100.0,13.0,TECH02,bearing,7834.856088560886
MEV0105,2026-01-01 14:45:00,M01,2.0,6.0,8.0,preventive,,F001,major,100.0,167.0,TECH01,bearing,1416.0
MEV0106,2026-01-01 14:50:00,M04,90.0,5.0,5.0,preventive,mechanical,F004,minor,44.0,236.0,TECH02,sensor,1948.0
MEV0107,2026-01-01 14:55:00,M02,24.0,9.0,,preventive,mechanical,F004,critical,125.0,181.0,TECH03,sensor,7834.856088560886
MEV0108,2026-01-01 15:00:00,M01,17.0,8.0,0.0,preventive,,F003,minor,179.0,111.0,TECH01,sensor,1058.0
MEV0109,,M03,59.0,22.0,10.0,preventive,electrical,F002,critical,148.0,98.0,TECH03,pump,478.0
MEV0110,2026-01-01 15:10:00,M01,88.0,8.0,,preventive,none,F002,critical,143.0,134.0,TECH03,,2593.0
MEV0111,2026-01-01 15:15:00,M03,109.0,5.0,2.0,preventive,mechanical,F003,,37.0,4.0,TECH02,sensor,2700.0
MEV0112,2026-01-01 15:20:00,M04,110.0,18.0,6.0,preventive,mechanical,F002,critical,73.0,1.0,TECH02,bearing,7834.856088560886
MEV0113,2026-01-01 15:25:00,M04,54.0,5.0,4.0,preventive,mechanical,F002,minor,,162.0,TECH03,bearing,2084.0
MEV0114,2026-01-01 15:30:00,M04,,21.0,13.0,preventive,hydraulic,F003,critical,153.0,,TECH02,valve,
MEV0115,2026-01-01 15:35:00,,14.0,17.0,,preventive,electrical,F002,critical,70.0,132.0,TECH02,sensor,1252.0
MEV0116,2026-01-01 15:40:00,M02,93.0,23.0,11.0,corrective,mechanical,F003,major,60.0,55.0,TECH01,bearing,2709.0
,2026-01-01 15:45:00,M03,60.0,28.0,13.0,preventive,electrical,F003,minor,94.0,195.0,TECH01,bearing,2782.0
MEV0118,2026-01-01 15:50:00,M03,112.0,19.0,4.0,preventive,mechanical,F002,minor,56.0,154.0,TECH01,valve,1500.0
MEV0119,2026-01-01 15:55:00,M03,12.0,3.0,13.0,preventive,electrical,F002,major,156.0,154.0,TECH02,bearing,981.0
MEV0120,2026-01-01 16:00:00,M01,1.0,4.0,10.0,preventive,hydraulic,F002,critical,170.0,57.0,TECH03,pump,2423.0
MEV0121,2026-01-01 16:05:00,M04,53.0,14.0,14.0,preventive,electrical,F003,major,58.0,147.0,TECH02,valve,1511.0
MEV0122,2026-01-01 16:10:00,M03,31.0,6.0,11.0,preventive,none,F001,critical,,137.0,TECH03,bearing,2137.0
MEV0123,2026-01-01 16:15:00,M03,81.0,15.0,8.0,corrective,electrical,F004,critical,,236.0,TECH01,valve,693.0
MEV0124,2026-01-01 16:20:00,M03,2.0,16.0,0.0,preventive,electrical,,minor,,225.0,TECH02,bearing,1421.0
MEV0125,2026-01-01 16:25:00,M03,40.0,16.0,3.0,,mechanical,F003,minor,156.0,116.0,TECH02,sensor,7834.856088560886
MEV0126,2026-01-01 16:30:00,M03,54.0,17.0,3.0,preventive,mechanical,F001,major,82.0,225.0,TECH03,sensor,238.0
MEV0127,2026-01-01 16:35:00,M01,104.0,2.0,,corrective,hydraulic,F004,minor,67.0,24.0,TECH03,bearing,2665.0
MEV0128,2026-01-01 16:40:00,M04,89.0,0.0,0.0,preventive,,,major,165.0,190.0,TECH01,pump,2359.0
MEV0129,2026-01-01 16:45:00,M02,94.0,3.0,13.0,corrective,electrical,F003,major,51.0,217.0,TECH02,sensor,158.0
MEV0130,2026-01-01 16:50:00,M04,114.0,16.0,12.0,preventive,electrical,,critical,102.0,138.0,TECH03,sensor,2122.0
MEV0131,2026-01-01 16:55:00,M04,49.0,16.0,13.0,preventive,hydraulic,F004,critical,88.0,25.0,TECH02,pump,2437.0
MEV0132,2026-01-01 17:00:00,M01,107.0,,7.0,preventive,none,F004,major,53.0,79.0,TECH01,bearing,833.0
MEV0133,2026-01-01 17:05:00,M01,102.0,21.0,8.0,corrective,electrical,F003,major,161.0,32.0,TECH01,pump,1906.0
MEV0134,2026-01-01 17:10:00,M04,63.0,18.0,4.0,preventive,hydraulic,F002,minor,143.0,112.0,TECH03,sensor,7834.856088560886
MEV0135,2026-01-01 17:15:00,M01,24.0,19.0,5.0,preventive,none,F003,major,48.0,166.0,TECH02,pump,2856.0
MEV0136,2026-01-01 17:20:00,M03,53.0,12.0,6.0,preventive,electrical,F001,critical,26.0,179.0,TECH01,bearing,153.0
MEV0137,2026-01-01 17:25:00,M02,101.0,8.0,12.0,preventive,none,F003,major,109.0,79.0,,pump,424.0
MEV0138,2026-01-01 17:30:00,M03,110.0,3.0,8.0,preventive,hydraulic,,critical,25.0,173.0,TECH01,bearing,831.0
MEV0139,2026-01-01 17:35:00,M04,68.0,27.0,13.0,corrective,electrical,F003,minor,25.0,74.0,TECH03,valve,2371.0
MEV0140,2026-01-01 17:40:00,M04,3.0,27.0,13.0,preventive,,F002,major,115.0,50.0,TECH01,sensor,562.0
MEV0141,2026-01-01 17:45:00,M01,37.0,26.0,49.32201613748297,corrective,mechanical,F002,,175.0,104.0,TECH03,pump,2178.0
MEV0142,2026-01-01 17:50:00,M04,84.0,2.0,,preventive,electrical,F002,minor,101.0,47.0,TECH02,valve,505.0
MEV0143,2026-01-01 17:55:00,M02,86.0,27.0,2.0,preventive,none,F002,minor,114.0,64.0,,valve,1062.0
MEV0144,2026-01-01 18:00:00,,4.0,5.0,1.0,preventive,electrical,F002,minor,24.0,178.0,TECH03,pump,2823.0
MEV0145,2026-01-01 18:05:00,M04,66.0,7.0,12.0,preventive,none,F001,minor,150.0,236.0,TECH02,,2412.0
MEV0146,2026-01-01 18:10:00,M04,103.0,29.0,2.0,,hydraulic,,major,55.0,225.0,TECH01,pump,1574.0
MEV0147,2026-01-01 18:15:00,M01,65.0,19.0,,preventive,electrical,F002,critical,25.0,210.0,TECH03,bearing,2647.0
MEV0148,2026-01-01 18:20:00,M04,19.0,20.0,5.0,corrective,electrical,F003,major,39.0,62.0,TECH03,sensor,2416.0
MEV0149,2026-01-01 18:25:00,M02,51.0,21.0,6.0,corrective,electrical,F001,critical,86.0,118.0,TECH02,bearing,
MEV0150,2026-01-01 18:30:00,M01,9.0,11.0,1.0,preventive,electrical,F004,minor,,208.0,TECH01,sensor,1200.0
MEV0151,2026-01-01 18:35:00,M04,14.0,4.0,13.0,preventive,none,F001,major,120.0,100.0,TECH01,pump,
MEV0152,2026-01-01 18:40:00,M02,49.0,29.0,0.0,preventive,hydraulic,F004,minor,,86.0,TECH03,pump,1084.0
MEV0153,2026-01-01 18:45:00,M02,111.0,21.0,10.0,preventive,mechanical,F002,minor,119.0,139.0,TECH02,valve,2992.0
MEV0154,2026-01-01 18:50:00,M03,88.0,18.0,4.0,preventive,none,F002,major,160.0,44.0,TECH01,valve,2458.0
MEV0155,2026-01-01 18:55:00,M03,42.0,28.0,14.0,corrective,mechanical,F004,major,,170.0,TECH02,pump,2125.0
MEV0156,2026-01-01 19:00:00,M01,38.0,9.0,12.0,preventive,electrical,,minor,35.0,186.0,,bearing,1424.0
MEV0157,2026-01-01 19:05:00,M04,,16.0,14.0,preventive,none,F002,major,598.0422047244094,66.0,TECH02,sensor,1511.0
MEV0158,2026-01-01 19:10:00,M04,51.0,20.0,1.0,preventive,none,F001,critical,140.0,238.0,TECH03,sensor,604.0
MEV0159,2026-01-01 19:15:00,M04,9.0,19.0,12.0,,none,F003,major,68.0,215.0,TECH03,bearing,2995.0
MEV0160,2026-01-01 19:20:00,M02,97.0,12.0,11.0,preventive,none,F001,major,162.0,117.0,TECH03,bearing,709.0
MEV0161,2026-01-01 19:25:00,M02,62.0,24.0,7.0,corrective,electrical,F002,critical,93.0,21.0,TECH03,sensor,2403.0
MEV0162,2026-01-01 19:30:00,M02,109.0,14.0,1.0,preventive,mechanical,F003,minor,137.0,221.0,TECH03,,
MEV0163,2026-01-01 19:35:00,M01,21.0,21.0,0.0,preventive,hydraulic,F003,minor,153.0,183.0,TECH01,sensor,855.0
MEV0164,2026-01-01 19:40:00,,103.0,10.0,10.0,preventive,none,F004,minor,91.0,60.0,TECH03,sensor,2464.0
MEV0165,2026-01-01 19:45:00,M02,72.0,2.0,0.0,corrective,mechanical,F004,critical,30.0,125.0,TECH03,pump,2172.0
MEV0166,2026-01-01 19:50:00,M04,34.0,23.0,0.0,corrective,electrical,F003,critical,51.0,48.0,TECH01,sensor,1392.0
MEV0167,2026-01-01 19:55:00,M03,53.0,29.0,10.0,preventive,hydraulic,F001,minor,35.0,218.0,TECH01,valve,1377.0
MEV0168,2026-01-01 20:00:00,M02,,16.0,,corrective,hydraulic,F002,minor,59.0,99.0,TECH01,pump,2077.0
MEV0169,2026-01-01 20:05:00,M01,11.0,23.0,0.0,preventive,none,F004,minor,158.0,71.0,TECH01,sensor,862.0
MEV0170,2026-01-01 20:10:00,M01,98.0,3.0,7.0,preventive,electrical,F004,,38.0,143.0,TECH03,pump,1839.0
MEV0171,2026-01-01 20:15:00,M03,36.0,19.0,12.0,preventive,electrical,F001,major,104.0,146.0,TECH01,valve,2848.0
MEV0172,2026-01-01 20:20:00,M02,59.0,20.0,13.0,preventive,mechanical,F002,critical,178.0,141.0,TECH03,pump,338.0
MEV0173,2026-01-01 20:25:00,M01,100.0,6.0,12.0,preventive,hydraulic,F003,minor,176.0,196.0,TECH01,bearing,1923.0
MEV0174,2026-01-01 20:30:00,M04,30.0,15.0,8.0,preventive,none,F003,minor,23.0,161.0,TECH02,,1798.0
MEV0175,2026-01-01 20:35:00,M01,13.0,,13.0,,none,F004,minor,,87.0,TECH01,pump,2141.0
MEV0176,2026-01-01 20:40:00,M01,34.0,26.0,3.0,preventive,hydraulic,F001,minor,145.0,51.0,TECH03,pump,1243.0
MEV0177,2026-01-01 20:45:00,M04,95.0,1.0,,corrective,mechanical,F002,major,122.0,157.0,,valve,1260.0
MEV0178,2026-01-01 20:50:00,M02,15.0,12.0,5.0,corrective,none,F002,minor,,4.0,TECH03,pump,2526.0
MEV0179,2026-01-01 20:55:00,M01,21.0,17.0,14.0,preventive,electrical,F004,major,107.0,114.0,TECH01,bearing,706.0
MEV0180,2026-01-01 21:00:00,M01,50.0,25.0,12.0,preventive,hydraulic,F002,critical,90.0,179.0,TECH02,sensor,2041.0
MEV0181,2026-01-01 21:05:00,M01,27.0,13.0,6.0,corrective,electrical,F002,minor,23.0,213.0,TECH01,bearing,2497.0
MEV0182,2026-01-01 21:10:00,M02,88.0,17.0,13.0,preventive,none,F001,critical,24.0,116.0,TECH02,pump,475.0
MEV0183,2026-01-01 21:15:00,M01,75.0,19.0,6.0,preventive,electrical,F004,major,118.0,89.0,TECH02,pump,2379.0
MEV0184,2026-01-01 21:20:00,M01,8.0,18.0,11.0,preventive,electrical,F002,major,53.0,227.0,TECH03,pump,2693.0
MEV0185,2026-01-01 21:25:00,M04,97.0,2.0,7.0,preventive,none,F003,minor,173.0,202.0,TECH02,sensor,2227.0
MEV0186,2026-01-01 21:30:00,M04,35.0,17.0,6.0,preventive,electrical,F001,minor,77.0,42.0,TECH02,bearing,2869.0
MEV0187,2026-01-01 21:35:00,M02,78.0,2.0,2.0,preventive,mechanical,F001,minor,142.0,196.0,TECH02,bearing,2097.0
MEV0188,2026-01-01 21:40:00,M02,89.0,12.0,8.0,corrective,hydraulic,F002,major,43.0,97.0,TECH02,valve,2306.0
MEV0189,2026-01-01 21:45:00,M03,103.0,0.0,8.0,preventive,mechanical,F004,minor,91.0,168.0,TECH01,valve,2699.0
,2026-01-01 21:50:00,M04,23.0,25.0,13.0,preventive,hydraulic,F003,major,114.0,202.0,TECH03,pump,622.0
MEV0191,2026-01-01 21:55:00,M04,61.0,17.0,2.0,preventive,electrical,F002,major,47.0,186.0,TECH03,pump,2013.0
MEV0192,2026-01-01 22:00:00,M02,50.0,,5.0,preventive,electrical,F003,critical,36.0,3.0,TECH03,valve,2141.0
MEV0193,,M02,75.0,27.0,1.0,preventive,mechanical,F003,,145.0,206.0,TECH02,sensor,2679.0
MEV0194,2026-01-01 22:10:00,,21.0,7.0,8.0,,hydraulic,,critical,36.0,,TECH01,valve,2337.0
MEV0195,2026-01-01 22:15:00,M02,104.0,18.0,6.0,corrective,hydraulic,,major,68.0,182.0,TECH03,sensor,2223.0
MEV0196,2026-01-01 22:20:00,M04,17.0,0.0,2.0,preventive,electrical,F001,major,90.0,81.0,TECH02,sensor,688.0
MEV0197,2026-01-01 22:25:00,M02,78.0,25.0,1.0,preventive,hydraulic,F004,critical,24.0,,TECH03,valve,2716.0
MEV0198,2026-01-01 22:30:00,M02,21.0,16.0,0.0,preventive,none,F001,critical,173.0,91.0,TECH03,,1115.0
MEV0199,2026-01-01 22:35:00,M04,6.0,24.0,7.0,preventive,hydraulic,F004,critical,125.0,42.0,TECH03,bearing,234.0
MEV0200,2026-01-01 22:40:00,M02,46.0,4.0,14.0,preventive,electrical,F004,critical,69.0,211.0,TECH01,pump,
MEV0201,2026-01-01 22:45:00,M04,46.0,27.0,8.0,corrective,none,F001,,107.0,178.0,TECH03,sensor,2678.0
MEV0202,2026-01-01 22:50:00,M02,1.0,18.0,3.0,preventive,electrical,F001,critical,138.0,235.0,TECH01,valve,2999.0
MEV0203,2026-01-01 22:55:00,M02,79.0,6.0,4.0,preventive,hydraulic,F002,minor,155.0,168.0,TECH03,valve,708.0
